Video Title,Speaker(s),Organisation,Event / Location,Type,YouTube ID
Triple D: Documentation Driven Development - A Panel Discussion,Steve McMahon;Ujjwal (last name TBC),Independent / Plone Foundation,Online,Talk,eu7ypPPKZCg
Plone Distributions; the right way,Érico Andrei,Simples Consultoria,Online,Talk,W0gDKhuIXPk
I valori dell'Open Source - il punto di vista della Rete Italiana Open Source - WPD 2025 Italia,Valentina Del Prete,RIOS (Rete Italiana Open Source),Italy (Bologna),Talk,HKlRhSpgT4Q
Plone & PWA: il caso Lignano Sabbiadoro - WPD2025 Italia,Omar Aleotti,RedTurtle,Italy (Bologna),Talk,KW5YDe801TQ
ER.GO e la digital communication: Plone per il rinnovo dell'immagine aziendale - WPD 2025 Italia,Giulia Nieddu,Er.GO,Italy (Bologna),Talk,KrrJdLBsuVI
Il nuovo portale dell'Azienda USL della Romagna - WPD 2025 Italia,Angelo Croatti,AUSL Romagna,Italy (Bologna),Talk,LDuhLrAsozQ
Governare il sito; migliorare l'organizzazione: il caso del Comune di Trento - WPD 2025 Italia,Erika Cavallo,Giallocobalto,Italy (Bologna),Talk,GcgxH9stLmM
AUSL Ferrara - uno dei primi siti conformi al modello ASL di Designers Italia - WPD 2025 Italia,Nicola Marighelli,RedTurtle,Italy (Bologna),Talk,rQdFpqs8MN4
Nuovi siti; nuova esperienza: la trasformazione digitale dei corsi UniMC - WPD 2025 Italia,Simone Carletti;Paolo Roganti,Università di Macerata,Italy (Bologna),Talk,_I7exPV9ERM
Volto e straVolto - World Plone Day 2025 Italia,Tiziana Flamminj,Regione Emilia-Romagna,Italy (Bologna),Talk,sEHL32dJ9io
World Plone Day 2025 Italia - Recap,,,Italy (Bologna),Recap,8nkzDBFKgq0
