username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
tomgross,57,3,28,"Plone, Products.ATContentTypes, Products.Archetypes, Products.CMFDynamicViewFTI, Products.CMFEditions, Products.CMFPlacefulWorkflow, Products.CMFPlone, Products.PlonePAS, Products.PortalTransforms, Products.ResourceRegistries, archetypes.referencebrowserwidget, buildout.coredev, plone.app.blob, plone.app.contentrules, plone.app.imaging, plone.app.portlets, plone.app.textfield, plone.app.upgrade, plone.app.z3cform, plone.batching, plone.behavior, plone.outputfilters, plone.recipe.zope2instance, plone.rfc822, plone.stringinterp, plone.testing, plone.z3cform, plonetheme.sunburst",2012-04-15,2012-12-16
datakurre,57,7,8,"Products.ResourceRegistries, diazo, planet.plone.org, plone.app.collection, plone.app.robotframework, plone.openid, plone.outputfilters, plone.transformchain",2012-02-19,2012-12-23
lentinj,53,13,8,"Products.CMFPlone, diazo, plone.app.contentlisting, plone.app.theming, plone.app.upgrade, plone.app.users, plone.formwidget.autocomplete, plone.formwidget.namedfile",2012-04-29,2012-11-25
ericof,52,4,9,"Products.CMFPlacefulWorkflow, Products.CMFPlone, diazo, planet.plone.org, plone.api, plone.app.collection, plone.app.controlpanel, plone.app.linkintegrity, plone.app.vocabularies",2012-01-22,2012-11-11
kcleong,52,1,2,"plone.api, plone.app.discussion",2012-07-08,2012-10-07
gotcha,52,0,6,"Products.CMFPlone, Products.PortalTransforms, diazo, plone.app.blob, plone.app.robotframework, plone.app.users",2012-02-26,2012-11-25
sneridagh,49,1,4,"archetypes.multilingual, plone.app.ldap, plone.app.multilingual, plone.multilingualbehavior",2012-03-18,2012-12-30
vipod,49,0,8,"buildout.coredev, plone.app.controlpanel, plone.app.form, plone.app.layout, plone.app.portlets, plone.app.upgrade, plone.app.users, plone.app.z3cform",2012-05-20,2012-12-02
rnixx,39,1,6,"Products.LinguaPlone, plone.app.event, plone.event, plone.formwidget.datetime, plone.formwidget.recurrence, plone.portlet.static",2012-08-12,2012-12-09
kiorky,35,1,3,"Products.PortalTransforms, plone.app.async, plone.formwidget.datetime",2012-03-11,2012-10-07
danjacka,34,8,12,"Products.CMFPlone, archetypes.referencebrowserwidget, buildout.coredev, diazo, plone.app.dexterity, plone.app.portlets, plone.app.registry, plone.app.theming, plone.app.workflow, plone.portlet.collection, plone.recipe.zope2instance, plonetheme.classic",2012-04-08,2012-12-09
erral,34,9,10,"Products.CMFPlone, Products.LinguaPlone, Products.PlonePAS, plone.app.collection, plone.app.dexterity, plone.app.discussion, plone.app.layout, plone.app.multilingual, plone.dexterity, plone.schemaeditor",2012-02-05,2012-11-11
