username,years_active,total_commits,total_prs
tetedacier,2023,1,0
tglman,"2023, 2024",21,0
Thanush-03,2025,2,1
thet,"2023, 2024, 2025",426,129
thresheek,"2023, 2024",17,0
tianon,"2023, 2024, 2025",1336,0
tiberiuichim,"2023, 2024, 2025",58,25
TimWolla,"2023, 2024, 2025",6,0
Tishasoumya-02,"2023, 2024, 2025",126,123
tisto,"2023, 2024, 2025",419,38
tkimnguyen,"2023, 2024, 2025",69,12
tlotze,2025,8,1
tmortagne,"2023, 2024",11,0
toalba,2023,18,7
tomschall,"2024, 2025",10,10
toropok,2025,2,2
tschorr,"2023, 2024",12,6
ttshivers,2024,5,0
ujjwaleee26,2023,8,5
ujsquared,2025,60,7
UnaiEtxaburu,2024,1,0
utkkkarshhh,2023,5,3
valentinab25,2023,3,0
valipod,"2023, 2025",3,2
vanosg,"2023, 2024",7,0
verena-km,2025,1,1
VibhuGupta-dev,2025,1,1
victorchrollo14,2024,2,2
Vivek-04022001,"2023, 2024",14,10
vmassol,"2023, 2024",12,0
vorsel,2023,1,0
vrana,2025,2,0
Wagner3UB,"2023, 2024, 2025",20,34
wallyqs,"2023, 2024",3,0
weblate,2025,0,8
wesleybl,"2023, 2024, 2025",284,303
whalelines,2023,2,0
whesse,2023,7,0
williamdes,"2023, 2025",2,0
witsch,2023,0,1
woky,2023,1,0
wolbernd,2023,2,0
woolyseal,2023,0,2
wraschke,"2023, 2024",19,0
Wylbur,2023,3,0
xiru,2024,1,2
xvzf,2023,1,0
yahya-cloud,2023,10,3
yarikoptic,"2023, 2024",2,0
YashasviniSingh,2025,1,1
Yikun,"2023, 2024",6,0
yosifkit,"2023, 2024, 2025",2079,0
yurj,"2023, 2024, 2025",55,17
zakame,"2023, 2024",23,0
zopyx,2023,4,3
ZubairImtiaz3,2023,2,2
