organisation,total_commits,total_pull_requests,contributors_count,contributors,repositories_count,repositories,years_active,first_contribution,last_contribution
rpatterson,10,3,1,rpatterson,4,"Products.CMFPlone, Products.PlonePAS, buildout.coredev, volto",2022,2022-01-30,2022-03-06
nelen-schuurmans,8,2,1,reinout,1,meta,2024,2024-01-28,2024-02-04
university-tu-dresden,8,7,1,pgrunewald,4,"buildout.coredev, plone.app.linkintegrity, plone.staticresources, volto","2022, 2023, 2024",2023-07-16,2024-05-12
interaktiv,7,5,1,mliebischer,3,"cookiecutter-zope-instance, plone.namedfile, training","2022, 2023",2022-07-03,2023-08-20
vangheem,6,1,1,vangheem,1,guillotina_s3storage,2022,2022-03-06,2022-05-15
zopyx,5,4,1,zopyx,5,"buildout.coredev, plone.api, plone.app.content, plone.restapi, training","2022, 2023",2022-04-24,2023-10-08
cosent,4,2,1,gyst,2,"plone.app.event, plone.recipe.zope2instance",2024,2024-04-14,2024-05-05
it-spirit,4,2,1,thomasmassmann,2,"buildout.coredev, plone.app.layout",2022,2022-01-02,2022-01-09
fhnw,3,5,2,"adrianschulz, tomschall",3,"cookieplone-templates, plone.de, volto",2024,2024-04-21,2024-07-21
ku-leuven,1,2,1,spereverde,2,"plone.app.iterate, volto","2022, 2023, 2024",2024-02-18,2024-02-18
cms-com,1,1,1,terapyon,1,volto,2022,2022-11-06,2022-11-06
dbain,0,1,1,pigeonflight,1,volto,2024,,
radio-free-asia,0,1,1,flipmcf,1,documentation,2022,,
minddistrict,0,2,1,icemac,1,plone.protect,2022,,
witsch,0,1,1,witsch,1,plone.portlet.collection,2023,,
