number,title,author,state,created_at,updated_at,closed_at,repository,html_url
2248,PLIP: Better default options for markup mime types,thet,closed,2017-12-20,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2248
2229,Allow more custom attributes in safe_html transform,thet,closed,2017-11-30,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2229
2221,PLIP: bring back JS and CSS head slots,hvelarde,closed,2017-11-23,2018-10-24,2018-10-24,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2221
427,Plone site root / folderish types,robgietema,closed,2017-11-08,2022-09-04,2022-09-04,plone/plone.restapi,https://github.com/plone/plone.restapi/issues/427
2177,PLIP: Ship Plone with plone.restapi,tisto,closed,2017-10-17,2019-02-04,2019-02-04,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2177
2150,PLIP: New datetime and date widgets,thet,closed,2017-09-19,2022-03-30,2022-03-30,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2150
2092,PLIP: Replace portal_skins-based login with a browserview-based one,esteele,closed,2017-07-05,2018-06-19,2018-06-19,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2092
374,Support for deserializing review_state,Shriyanshagro,closed,2017-06-28,2017-08-28,2017-08-28,plone/plone.restapi,https://github.com/plone/plone.restapi/issues/374
2072,PLIP: TOX as new standard test invocation tool in Plone and Plone guidelines,loechel,closed,2017-06-13,2020-01-07,2020-01-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2072
2056,return 'random' results from a collection,tkimnguyen,closed,2017-05-20,2017-10-18,2017-10-18,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2056
29,Control panels,robgietema,open,2017-04-27,2025-09-13,,plone/volto,https://github.com/plone/volto/issues/29
2035,support separate mail From: and To: addresses,tkimnguyen,closed,2017-04-25,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2035
2031,remove available_timezones from plone.app.event,thet,closed,2017-04-24,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2031
17,Make pages folderish and plone site pagish,robgietema,closed,2017-04-20,2019-06-13,2019-06-13,plone/volto,https://github.com/plone/volto/issues/17
10,Content rules,robgietema,closed,2017-04-20,2022-12-26,2022-12-26,plone/volto,https://github.com/plone/volto/issues/10
2012,add exclude_from_nav BooleanIndex,iham,closed,2017-04-12,2020-02-17,2020-02-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2012
2011,add brain to topLevelTabs,iham,closed,2017-04-12,2024-06-30,2024-06-28,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2011
2001,PLIP: get rid of bootstrap.py,gforcada,closed,2017-04-10,2019-05-21,2019-05-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/2001
1979,PLIP: Add Transform to remove inline base64 coded content,loechel,closed,2017-03-25,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1979
1973,Improving the theme editor experience,pigeonflight,closed,2017-03-21,2019-01-28,2019-01-28,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1973
1955,PLIP: Resource registry improvements,thet,closed,2017-02-27,2022-04-11,2019-06-20,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1955
1918,PLIP: (WIP) Feature flag to disable implicit enabled behavior attribute access on Dexterity objects ,datakurre,closed,2017-01-27,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1918
1896,PLIP: Simplify the Resource Registry,hvelarde,closed,2017-01-06,2017-02-25,2017-02-08,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1896
1894,PLIP: content quality check before publishing,tkimnguyen,closed,2017-01-03,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1894
1808,PLIP: Bring collective.contentrules.mailtogroup into Plone core,fulv,closed,2016-10-22,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1808
1804,Remove five.pt for Zope 4 compat (part of PLIP #1351 Zope 4),jensens,closed,2016-10-22,2017-02-01,2017-02-01,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1804
1803,PLIP: Make use of JSON in GenericSetup,gogobd,open,2016-10-21,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1803
1775,PLIP: Remove portal_quickinstaller in Plone 6.0,mauritsvanrees,closed,2016-09-21,2020-10-03,2020-10-03,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1775
