username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
yurj,18,5,6,"bobtemplates.plone, buildout.coredev, documentation, mockup, plone.staticresources, plonetheme.barceloneta",2021-06-13,2021-11-28
rboixaderg,16,9,2,"guillotina, pastanaga-angular",2021-05-09,2021-08-01
jmevissen,16,5,3,"Products.CMFPlone, mockup, plone.app.z3cform",2021-10-24,2021-12-26
frapell,15,8,8,"Products.CMFPlone, buildout.coredev, guillotina, guillotina-volto, plone.app.workflow, plone.folder, plone.formwidget.recurrence, plone.memoize",2021-01-17,2021-10-31
alecpm,14,1,5,"ansible.plone_server, buildout.coredev, plone.app.event, plone.app.vocabularies, plone.app.z3cform",2021-01-24,2021-08-08
jordic,13,1,1,guillotina,2021-01-17,2021-01-17
spereverde,13,6,7,"Products.PloneTestCase, documentation, plone.app.blob, plone.app.dexterity, plone.app.standardtiles, plone.dotfiles, training",2021-03-21,2021-11-14
mgedmin,12,0,1,meta,2021-01-03,2021-06-20
loechel,12,2,3,"Products.CMFPlone, diazo, plone.api",2021-01-24,2021-03-07
barcafa,12,12,1,pastanaga-angular,2021-02-07,2021-08-29
gotcha,11,5,5,"buildout.coredev, meta, plone.app.textfield, plone.app.z3cform, plone.htmx",2021-03-07,2021-12-12
nilbacardit26,10,9,2,"guillotina, guillotina_elasticsearch",2021-02-28,2021-11-07
cdw9,9,2,3,"2023.ploneconf.org, plone.nl, ploneconf.org",2021-09-26,2021-10-10
faustoonna,8,8,1,pastanaga-angular,2021-08-29,2021-10-31
fulv,8,3,3,"Products.CMFPlone, ploneorg.core, ploneorg.theme",2021-01-10,2021-10-24
flipmcf,8,1,6,"2023.ploneconf.org, documentation, plone.app.dexterity, plone.app.vocabularies, plone.nl, ploneconf.org",2021-01-17,2021-12-05
Petchesi-Iulian,8,0,1,plone.api,2021-01-24,2021-01-31
Rudd-O,8,3,3,"buildout.coredev, plone.app.linkintegrity, plone.outputfilters",2021-12-12,2021-12-26
mamico,8,9,8,"buildout.coredev, plone-backend, plone.app.multilingual, plone.app.tiles, plone.docker, plone.formwidget.hcaptcha, plone.restapi, volto",2021-01-03,2021-11-07
iRohitSingh,8,13,1,volto,2021-10-10,2021-11-28
tschorr,7,3,2,"Products.CMFPlone, plone.autoinclude",2021-02-07,2021-02-21
Gomez,7,0,4,"mockup, plone.app.multilingual, plone.staticresources, plonetheme.barceloneta",2021-01-03,2021-02-07
talarias,7,4,4,"Products.CMFPlone, mockup, plone.app.layout, plonetheme.barceloneta",2021-06-20,2021-12-26
datakurre,7,1,3,"buildout.coredev, plone.app.versioningbehavior, plone.formwidget.namedfile",2021-04-25,2021-07-04
frisi,7,7,4,"bobtemplates.plone, buildout.coredev, plone.app.event, plone.formwidget.namedfile",2021-05-30,2021-09-05
laulaz,6,0,5,"buildout.coredev, plone.app.content, plone.app.contenttypes, plone.app.theming, plone.gallery",2021-02-28,2021-11-28
ionlizarazu,5,6,2,"plone.restapi, volto",2021-04-25,2021-08-15
vangheem,5,6,2,"guillotina, guillotina_gcloudstorage",2021-01-31,2021-04-18
valentinab25,5,4,1,volto-addon-ci,2021-05-16,2021-05-23
kreafox,5,5,1,volto,2021-08-29,2021-10-31
balavec,5,2,3,"Products.CMFPlone, plone.app.mosaic, plone.app.z3cform",2021-02-07,2021-04-11
jugmac00,4,4,4,"Products.isurlinportal, meta, plone.recipe.zope2instance, plone.testing",2021-02-07,2021-08-01
djowett,4,3,2,"ansible-playbook, ansible.plone_server",2021-05-16,2021-07-25
ThomasKindermann,4,5,1,volto,2021-06-27,2021-07-04
2silver,4,1,1,plone.app.iterate,2021-05-16,2021-05-16
silviubogan,4,0,1,volto,2021-01-17,2021-12-26
iham,4,1,3,"bobtemplates.plone, plone.app.contenttypes, plonetheme.barceloneta",2021-02-07,2021-10-31
gbastien,3,1,1,plone.restapi,2021-09-19,2021-09-19
agroszer,3,0,1,meta,2021-07-25,2021-08-15
duchenean,3,0,2,"plone.app.textfield, plone.app.z3cform",2021-10-03,2021-10-10
jlp0328,3,3,1,pastanaga-angular,2021-01-03,2021-01-10
arky,3,3,2,"plone.restapi, training",2021-06-20,2021-10-31
wolbernd,3,1,1,plone.app.caching,2021-11-21,2021-11-21
cleberjsantos,3,1,3,"2023.ploneconf.org, plone.nl, ploneconf.org",2021-10-03,2021-10-03
niglesiaszingoni,3,1,1,pastanaga-angular,2021-01-10,2021-01-10
mtrebron,3,3,2,"ploneorg.core, ploneorg.theme",2021-02-21,2021-03-21
polyester,3,2,4,"buildout.coredev, documentation, papyrus, training",2021-10-17,2021-10-24
razvanMiu,3,2,2,"critical-css-cli, volto",2021-03-21,2021-08-15
sallner,3,0,1,meta,2021-01-31,2021-03-14
macagua,3,0,1,volto,2021-11-07,2021-11-07
deiferni,2,1,1,plone.restapi,2021-04-25,2021-05-02
andreesg,2,0,2,"plone.app.contentrules, plonetheme.barceloneta",2021-02-07,2021-02-07
dgsmith2,2,2,1,pastanaga-angular,2021-02-14,2021-05-16
jotare,2,2,1,guillotina,2021-07-18,2021-11-07
jaroel,2,0,2,"buildout.coredev, plone.app.testing",2021-01-24,2021-08-15
pigeonflight,2,1,2,"training, volto",2021-03-14,2021-11-21
mliebischer,2,1,2,"plone.app.contenttypes, plone.app.multilingual",2021-02-07,2021-03-21
bduncan137,2,2,2,"plone.app.caching, plone.app.drafts",2021-03-07,2021-09-19
gogobd,2,1,1,plone.app.multilingualindexes,2021-05-30,2021-05-30
sauzher,2,2,2,"plone-haproxy, plone.app.themingplugins",2021-10-24,2021-11-07
1bsilver,2,1,1,volto,2021-07-04,2021-07-04
reebalazs,1,2,2,"plone.app.querystring, volto",2021-11-28,2021-11-28
reinhardt,1,2,2,"plone.app.caching, plone.app.iterate",2021-04-18,2021-04-18
julienCarret,1,12,1,pastanaga-angular,2021-12-05,2021-12-05
instification,1,1,1,volto,2021-12-26,2021-12-26
danielamormocea,1,1,1,volto,2021-08-15,2021-08-15
terapyon,1,1,1,volto,2021-09-19,2021-09-19
